Team,Nationality,Position,Age,Potential,Name
FC Nordsjælland ,Ghana,Mediocampista | Mediapunta,19,Muy Bueno,Mohammed Kudus
Sporting CP ,Portugal,Extremo Derecho,20,Muy Bueno,Rafael Camacho
Sassuolo ,Ivory Coast,Mediocampista | Mediocampista Ofensivo,20,Muy Bueno,Hamed Junior Traorè
Club Atlético Peñarol ,Uruguay,Mediocampista Derecho | Extremo Derecho,18,Muy Bueno,Facundo Pellistri
Watford ,Brazil,Delantero Centro | Mediocampista Izquierdo,18,Muy Bueno,João Pedro
FC Porto ,Portugal,Delantero Centro,18,Muy Bueno,Fábio Silva
FC Schalke 04 ,Wales,Delantero Centro | Mediocampista Derecho | Mediocampista Izquierdo,19,Muy Bueno,Rabbi Matondo
Deportivo Cali ,Colombia,Mediocampista Derecho,20,Muy Bueno,Déiber Caicedo
RB Leipzig ,Wales,Defensor Central | Mediocampista Defensivo,19,Muy Bueno,Ethan Ampadu
RSC Anderlecht ,Belgium,Defensor Central | Mediocampista Defensivo,17,Muy Bueno,Marco Kana
Chelsea ,Scotland,Mediocampista | Mediocampista Ofensivo,19,Muy Bueno,Billy Gilmour
Borussia Dortmund ,United States,Mediocampista Izquierdo | Mediocampista Ofensivo,17,Muy Bueno,Giovanni Reyna
FC St. Gallen 1879 ,Switzerland,Defensor Central,18,Muy Bueno,Leonidas Stergiou
Real Madrid ,Spain,Lateral Derecho,28,Muy Bueno,Carvajal
SL Benfica ,Portugal,Mediocampista Derecho | Mediocampista,30,Muy Bueno,Pizzi
Real Madrid ,Spain,Mediocampista | Mediocampista Ofensivo | Extremo Izquierdo,28,Muy Bueno,Isco
RC Celta ,Spain,Delantero Centro | Extremo Derecho,32,Muy Bueno,Iago Aspas
FC Bayern München ,Germany,Mediocampista Derecho | Mediocampista Ofensivo | Extremo Derecho,30,Muy Bueno,Thomas Müller
FC Bayern München ,Brazil,Mediocampista | Mediocampista Ofensivo | Extremo Izquierdo,28,Muy Bueno,Coutinho
Guangzhou Evergrande Taobao FC ,Brazil,Mediocampista Defensivo | Mediocampista | Mediocampista Ofensivo,32,Muy Bueno,Paulinho
Liverpool ,England,Mediocampista Defensivo | Mediocampista,30,Muy Bueno,Jordan Henderson
Liverpool ,Netherlands,Mediocampista Defensivo | Mediocampista,29,Muy Bueno,Georginio Wijnaldum
Borussia Dortmund ,Belgium,Mediocampista Defensivo | Mediocampista,31,Muy Bueno,Axel Witsel
Real Madrid ,Wales,Delantero Centro | Extremo Derecho | Extremo Izquierdo,31,Muy Bueno,Gareth Bale
Tottenham Hotspur ,Belgium,Lateral Izquierdo | Defensor Central,33,Muy Bueno,Jan Vertonghen
FC Barcelona ,Croatia,Mediocampista,32,Muy Bueno,Ivan Rakitic
Juventus ,Argentina,Delantero Centro,32,Muy Bueno,Gonzalo Higuaín
Manchester City ,Brazil,Defensor Central | Mediocampista Defensivo,35,Muy Bueno,Fernandinho
Milan ,Sweden,Delantero Centro,38,Muy Bueno,Zlatan Ibrahimovic
FC Porto ,Brazil,Lateral Izquierdo,27,Muy Bueno,Alex Telles
FC Barcelona ,Brazil,Arquero,31,Muy Bueno,Neto
Napoli ,Greece,Defensor Central,29,Muy Bueno,Kostas Manolas
Inter ,Croatia,Mediocampista Defensivo | Mediocampista,27,Muy Bueno,Marcelo Brozovic
RB Leipzig ,Austria,Mediocampista | Mediocampista Ofensivo,26,Muy Bueno,Marcel Sabitzer
VfL Wolfsburg ,Belgium,Arquero,28,Muy Bueno,Koen Casteels
FC Barcelona ,Portugal,Lateral Derecho,26,Muy Bueno,Nélson Semedo
Tottenham Hotspur ,Colombia,Defensor Central,24,Muy Bueno,Davinson Sánchez
FC Bayern München ,France,Mediocampista Defensivo | Mediocampista,25,Muy Bueno,Corentin Tolisso
Athletic Club ,Spain,Delantero Centro | Extremo Derecho,26,Muy Bueno,Iñaki Williams
Atlético Madrid ,Argentina,Delantero Centro | Mediocampista Derecho,25,Muy Bueno,Ángel Correa
Juventus ,France,Mediocampista Defensivo | Mediocampista,25,Muy Bueno,Adrien Rabiot
Torino ,Italy,Delantero Centro,26,Muy Bueno,Andrea Belotti
Borussia Dortmund ,Germany,Mediocampista Defensivo | Mediocampista,26,Muy Bueno,Emre Can
Leicester City ,England,Lateral Izquierdo,23,Muy Bueno,Ben Chilwell
RB Leipzig ,Germany,Carrilero Derecho | Lateral Derecho | Lateral Izquierdo | Extremo Derecho,24,Muy Bueno,Lukas Klostermann
Manchester United ,Sweden,Defensor Central,26,Muy Bueno,Victor Lindelöf
Montpellier Hérault SC ,Argentina,Arquero,28,Muy Bueno,Gerónimo Rulli
Napoli ,Poland,Mediocampista Izquierdo | Mediocampista,26,Muy Bueno,Piotr Zielinski
SL Benfica ,Brazil,Delantero Centro,25,Muy Bueno,Vinícius
Stade Rennais FC ,Brazil,Mediocampista Derecho | Extremo Derecho,23,Muy Bueno,Raphinha
Leicester City ,Turkey,Defensor Central,24,Muy Bueno,Çaglar Söyüncü
Roma ,Italy,Mediocampista Defensivo | Mediocampista | Mediocampista Ofensivo,24,Muy Bueno,Lorenzo Pellegrini
FC Bayern München ,France,Lateral Derecho | Defensor Central,24,Muy Bueno,Benjamin Pavard
RB Leipzig ,Austria,Lateral Derecho | Mediocampista Defensivo | Mediocampista,23,Muy Bueno,Konrad Laimer
Tottenham Hotspur ,England,Mediocampista Defensivo | Mediocampista,24,Muy Bueno,Harry Winks
Chelsea ,Denmark,Defensor Central,24,Muy Bueno,Andreas Christensen
Aston Villa ,England,Mediocampista | Mediocampista Ofensivo | Extremo Izquierdo,24,Muy Bueno,Jack Grealish
Manchester City ,France,Lateral Izquierdo,26,Muy Bueno,Benjamin Mendy
FC Barcelona ,Spain,Lateral Izquierdo | Mediocampista Izquierdo,23,Muy Bueno,Junior Firpo
Racing Club ,Argentina,Mediocampista Derecho | Mediocampista | Mediocampista Ofensivo,22,Muy Bueno,Matías Zaracho
FC Schalke 04 ,Morocco,Mediocampista Izquierdo | Mediocampista | Mediocampista Ofensivo,23,Muy Bueno,Amine Harit
Athletic Club ,Spain,Arquero,23,Muy Bueno,Unai Simón
Borussia Dortmund ,Switzerland,Defensor Central,25,Muy Bueno,Manuel Akanji
OGC Nice ,Denmark,Delantero Centro,22,Muy Bueno,Kasper Dolberg
Manchester City ,Ukraine,Lateral Izquierdo,23,Muy Bueno,Oleksandr Zinchenko
West Ham United ,Spain,Mediocampista Derecho | Mediocampista Izquierdo | Mediocampista Ofensivo,24,Muy Bueno,Pablo Fornals
Bayer 04 Leverkusen ,Germany,Mediocampista | Mediocampista Ofensivo,23,Muy Bueno,Nadiem Amiri
LA Galaxy ,Argentina,Mediocampista Izquierdo | Extremo Derecho | Extremo Izquierdo,24,Muy Bueno,Cristian Pavón
River Plate ,Colombia,Delantero Centro,24,Muy Bueno,Rafael Santos Borré
Chelsea ,England,Mediocampista Izquierdo | Mediocampista,24,Muy Bueno,Ruben Loftus-Cheek
SL Benfica ,Portugal,Defensor Central,23,Muy Bueno,Ferro
AZ ,Netherlands,Defensor Central | Mediocampista Defensivo,22,Muy Bueno,Teun Koopmeiners
RCD Espanyol ,Spain,Mediocampista Defensivo | Mediocampista,23,Muy Bueno,Marc Roca
Fiorentina ,Italy,Mediapunta | Extremo Derecho,22,Muy Bueno,Federico Chiesa
Leicester City ,England,Mediocampista Ofensivo | Extremo Izquierdo,22,Muy Bueno,Harvey Barnes
LOSC Lille ,Brazil,Defensor Central,22,Muy Bueno,Gabriel
West Ham United ,France,Defensor Central,23,Muy Bueno,Issa Diop
LOSC Lille ,Portugal,Mediocampista Derecho | Mediocampista,22,Muy Bueno,Renato Sanches
SV Werder Bremen ,Germany,Mediocampista Defensivo | Mediocampista | Mediocampista Ofensivo,23,Muy Bueno,Maximilian Eggestein
RB Leipzig ,France,Lateral Derecho | Defensor Central,22,Muy Bueno,Nordi Mukiele
River Plate ,Uruguay,Mediocampista | Mediocampista Ofensivo | Extremo Izquierdo,23,Muy Bueno,Nicolás De la Cruz
SC Braga ,Brazil,Extremo Derecho | Extremo Izquierdo,22,Muy Bueno,Galeno
River Plate ,Argentina,Defensor Central,24,Muy Bueno,Lucas Martínez Quarta
Hertha BSC ,Germany,Mediocampista Defensivo | Mediocampista,21,Muy Bueno,Arne Maier
Feyenoord ,Argentina,Defensor Central,23,Muy Bueno,Marcos Senesi
RC Celta ,Spain,Mediocampista Derecho | Mediocampista Izquierdo,23,Muy Bueno,Brais Méndez
Celtic ,France,Delantero Centro,22,Muy Bueno,Odsonne Edouard
Bologna ,Italy,Mediocampista Derecho | Mediocampista Ofensivo | Extremo Derecho,23,Muy Bueno,Riccardo Orsolini
RCD Espanyol ,Argentina,Mediocampista Izquierdo | Mediocampista Ofensivo | Extremo Izquierdo,23,Muy Bueno,Matías Vargas
Rangers FC ,Colombia,Delantero Centro,24,Muy Bueno,Alfredo Morelos
Real Betis ,Brazil,Carrilero Derecho | Lateral Derecho | Mediocampista Derecho | Extremo Derecho,21,Muy Bueno,Emerson
R. Valladolid CF ,Ghana,Defensor Central,21,Muy Bueno,Mohammed Salisu
Feyenoord ,Turkey,Mediocampista | Mediocampista Ofensivo,19,Muy Bueno,Orkun Kökçü
Hertha BSC ,Brazil,Delantero Centro | Mediocampista Ofensivo,21,Muy Bueno,Matheus Cunha
LOSC Lille ,France,Mediocampista Defensivo | Mediocampista,21,Muy Bueno,Boubakary Soumaré
Inter ,Italy,Defensor Central,21,Muy Bueno,Alessandro Bastoni
Tottenham Hotspur ,Argentina,Lateral Derecho | Defensor Central,22,Muy Bueno,Juan Foyth
Roma ,Netherlands,Mediocampista Derecho | Mediocampista Izquierdo | Extremo Izquierdo,21,Muy Bueno,Justin Kluivert
Everton ,Italy,Delantero Centro,20,Muy Bueno,Moise Kean
Eintracht Frankfurt ,France,Lateral Izquierdo | Defensor Central,20,Muy Bueno,Evan Ndicka
Toulouse Football Club ,Ivory Coast,Mediocampista Defensivo | Mediocampista,22,Muy Bueno,Ibrahim Sangaré
Manchester United ,Portugal,Lateral Derecho | Lateral Izquierdo,21,Muy Bueno,Diogo Dalot
Olympique Lyonnais ,France,Mediocampista Derecho | Mediocampista | Mediocampista Ofensivo,22,Muy Bueno,Jeff Reine-Adélaïde
FC Schalke 04 ,Germany,Arquero,23,Muy Bueno,Alexander Nübel
R. Zaragoza ,Colombia,Delantero Centro,22,Muy Bueno,Luis Javier Suárez
Brentford ,France,Delantero Centro | Mediocampista Derecho | Extremo Derecho,20,Muy Bueno,Bryan Mbeumo
KAA Gent ,Georgia,Mediocampista Izquierdo | Mediocampista Ofensivo,20,Muy Bueno,Giorgi Chakvetadze
Newcastle United ,England,Mediocampista | Mediocampista Ofensivo,22,Muy Bueno,Sean Longstaff
RB Leipzig ,Austria,Mediocampista Ofensivo,21,Muy Bueno,Hannes Wolf
Atlanta United ,Argentina,Mediapunta | Extremo Izquierdo,21,Muy Bueno,Ezequiel Barco
Napoli ,North Macedonia,Mediocampista,20,Muy Bueno,Eljif Elmas
Norwich City ,England,Lateral Derecho,20,Muy Bueno,Max Aarons
KV Oostende ,Croatia,Mediocampista Defensivo | Mediocampista | Mediocampista Ofensivo,20,Muy Bueno,Ante Palaversa
River Plate ,Argentina,Delantero Centro | Extremo Derecho,20,Muy Bueno,Julián Álvarez
Club Atlético Lanús ,Argentina,Extremo Derecho | Extremo Izquierdo,19,Muy Bueno,Pedro De la Vega
Athletic Club ,Spain,Mediocampista | Mediocampista Ofensivo,20,Muy Bueno,Sancet
Cagliari ,Italy,Lateral Izquierdo,21,Muy Bueno,Luca Pellegrini
Arsenal ,England,Mediocampista | Mediocampista Ofensivo,20,Muy Bueno,Joseph Willock
Angers SCO ,France,Lateral Izquierdo,19,Muy Bueno,Rayan Aït Nouri
Arsenal ,England,Delantero Centro,21,Muy Bueno,Eddie Nketiah
Manchester City ,Spain,Defensor Central,19,Muy Bueno,Eric García
Free Agents ,Poland,Mediocampista Derecho | Mediocampista Izquierdo | Mediocampista Ofensivo,21,Muy Bueno,Sebastian Szymanski
Club Nacional de Football ,Uruguay,Mediocampista Derecho | Mediocampista Ofensivo | Extremo Derecho,20,Muy Bueno,Santiago Rodríguez
Celtic ,Netherlands,Carrilero Derecho | Lateral Derecho | Extremo Derecho,19,Muy Bueno,Jeremie Frimpong
FC Schalke 04 ,Turkey,Delantero Centro | Mediapunta | Extremo Derecho,20,Muy Bueno,Ahmed Kutucu
Dynamo Kyiv ,Ukraine,Mediocampista Derecho | Mediocampista Izquierdo,19,Muy Bueno,Giorgi Tsitaishvili
SD Huesca ,Spain,Mediocampista Derecho | Mediocampista Izquierdo | Mediocampista Ofensivo,19,Muy Bueno,Sergio Gómez
Manchester United ,England,Mediocampista Ofensivo | Extremo Izquierdo,19,Muy Bueno,Angel Gomes
FC Red Bull Salzburg ,Germany,Delantero Centro | Extremo Derecho | Extremo Izquierdo,18,Muy Bueno,Karim Adeyemi
Dinamo Zagreb ,Croatia,Lateral Izquierdo | Defensor Central,18,Muy Bueno,Josko Gvardiol
Once Caldas ,Colombia,Mediocampista Derecho | Mediocampista Izquierdo,21,Muy Bueno,Johan Carbonero
PSV ,England,Mediocampista Ofensivo | Extremo Derecho,18,Muy Bueno,Noni Madueke
Manchester United ,England,Mediocampista Defensivo | Mediocampista,19,Muy Bueno,James Garner
KRC Genk ,Belgium,Arquero,18,Muy Bueno,Maarten Vandevoordt
Hamburger SV ,Germany,Lateral Derecho | Lateral Izquierdo | Mediocampista Izquierdo,19,Muy Bueno,Josha Vagnoman
Shakhtar Donetsk ,Brazil,Mediocampista,20,Muy Bueno,Marcos Antonio
Wolverhampton Wanderers ,France,Mediocampista Defensivo | Mediocampista,19,Muy Bueno,Enzo Loiodice
Liverpool ,England,Mediocampista Izquierdo | Mediocampista | Mediocampista Ofensivo,19,Muy Bueno,Curtis Jones
Celtic ,England,Extremo Derecho,17,Muy Bueno,Karamoko Dembélé
Tottenham Hotspur ,Republic of Ireland,Delantero Centro,18,Muy Bueno,Troy Parrott
VfL Bochum 1848 ,Germany,Defensor Central,18,Muy Bueno,Armel Bella-Kotchap
Inter ,France,Mediocampista,18,Muy Bueno,Lucien Agoume
San Lorenzo de Almagro ,Argentina,Mediocampista Ofensivo,18,Muy Bueno,Matías Palacios
Manchester City ,England,Mediocampista,18,Muy Bueno,Tommy Doyle
Atlético Madrid ,Brazil,Defensor Central,31,Muy Bueno,Felipe
Chelsea ,Italy,Mediocampista Defensivo | Mediocampista,28,Muy Bueno,Jorginho
Atalanta ,Slovenia,Delantero Centro | Mediapunta,32,Muy Bueno,Josip Ilicic
Napoli ,Brazil,Mediocampista,29,Muy Bueno,Allan
Lazio ,Italy,Defensor Central,32,Muy Bueno,Francesco Acerbi
AS Monaco Football Club SA ,France,Delantero Centro,29,Muy Bueno,Wissam Ben Yedder
Real Madrid ,Colombia,Mediocampista Derecho | Mediocampista | Mediocampista Ofensivo,29,Muy Bueno,James Rodríguez
Paris Saint-Germain ,Senegal,Mediocampista Defensivo | Mediocampista,30,Muy Bueno,Idrissa Gueye
Arsenal ,France,Delantero Centro,29,Muy Bueno,Alexandre Lacazette
Juventus ,Brazil,Lateral Izquierdo | Mediocampista Izquierdo,29,Muy Bueno,Alex Sandro
Juventus ,Brazil,Mediocampista Izquierdo | Extremo Derecho | Extremo Izquierdo,29,Muy Bueno,Douglas Costa
Real Betis ,Spain,Mediocampista Izquierdo | Mediocampista | Mediocampista Ofensivo,29,Muy Bueno,Canales
Shanghai SIPG FC ,Brazil,Mediocampista | Mediocampista Ofensivo | Extremo Izquierdo,28,Muy Bueno,Oscar
Manchester City ,Germany,Mediocampista Defensivo | Mediocampista,29,Muy Bueno,Ilkay Gündogan
Napoli ,Spain,Mediocampista Derecho | Extremo Derecho,33,Muy Bueno,José Callejón
Chelsea ,Spain,Lateral Derecho | Lateral Izquierdo | Defensor Central,30,Muy Bueno,Azpilicueta
FC Barcelona ,Chile,Mediocampista Defensivo | Mediocampista | Mediocampista Ofensivo,33,Muy Bueno,Arturo Vidal
Roma ,Bosnia & Herzegovina,Delantero Centro,34,Muy Bueno,Edin Dzeko
Sevilla FC ,Argentina,Mediocampista Defensivo | Mediocampista,32,Muy Bueno,Éver Banega
Cagliari ,Belgium,Mediocampista | Mediocampista Ofensivo | Mediapunta,32,Muy Bueno,Radja Nainggolan
Real Madrid ,Brazil,Lateral Izquierdo,32,Muy Bueno,Marcelo
Lazio ,Brazil,Mediocampista Defensivo,33,Muy Bueno,Lucas Leiva
Juventus ,France,Mediocampista Defensivo | Mediocampista,33,Muy Bueno,Blaise Matuidi
Torino ,Italy,Arquero,33,Muy Bueno,Salvatore Sirigu
Wolverhampton Wanderers ,Portugal,Mediocampista,33,Muy Bueno,João Moutinho
Getafe CF ,Togo,Defensor Central,28,Muy Bueno,Dakonam Djené
SL Benfica ,Portugal,Mediocampista Derecho | Mediocampista Izquierdo,27,Muy Bueno,Rafa
Ajax ,Argentina,Lateral Izquierdo,27,Muy Bueno,Nicolás Tagliafico
Borussia Dortmund ,Portugal,Lateral Izquierdo | Mediocampista Izquierdo | Mediocampista,26,Muy Bueno,Raphaël Guerreiro
Atlético Madrid ,Belgium,Mediocampista Izquierdo,26,Muy Bueno,Yannick Carrasco
Atlético Madrid ,Montenegro,Defensor Central,29,Muy Bueno,Stefan Savic
Valencia CF ,Brazil,Defensor Central,29,Muy Bueno,Gabriel Paulista
Atlético Madrid ,Spain,Delantero Centro,27,Muy Bueno,Morata
Paris Saint-Germain ,Spain,Mediocampista Ofensivo | Extremo Derecho,28,Muy Bueno,Pablo Sarabia
Real Betis ,Spain,Defensor Central | Mediocampista Defensivo,29,Muy Bueno,Bartra
FC Bayern München ,Austria,Lateral Izquierdo | Defensor Central,28,Muy Bueno,David Alaba
Liverpool ,Cameroon,Defensor Central,28,Muy Bueno,Joel Matip
Palmeiras ,Brazil,Delantero Centro | Mediocampista Ofensivo | Mediapunta,24,Muy Bueno,Nuno Padrenda
Getafe CF ,Spain,Arquero,27,Muy Bueno,David Soria
D. Alavés ,Spain,Arquero,28,Muy Bueno,Pacheco
Atlanta United ,Venezuela,Delantero Centro,27,Muy Bueno,Josef Martínez
West Ham United ,France,Delantero Centro,26,Muy Bueno,Sébastien Haller
Chelsea ,Germany,Defensor Central,27,Muy Bueno,Antonio Rüdiger
Villarreal CF ,Spain,Delantero Centro,26,Muy Bueno,Paco Alcácer
Genoa ,Italy,Arquero,27,Muy Bueno,Mattia Perin
Real Betis ,Spain,Delantero Centro,26,Muy Bueno,Loren
Bayer 04 Leverkusen ,Germany,Mediocampista,27,Muy Bueno,Kerem Demirbay
Juventus ,Italy,Defensor Central,26,Muy Bueno,Daniele Rugani
Everton ,England,Arquero,26,Muy Bueno,Jordan Pickford
Chelsea ,France,Defensor Central,25,Muy Bueno,Kurt Zouma
Manchester City ,England,Defensor Central,26,Muy Bueno,John Stones
Borussia Mönchengladbach ,France,Delantero Centro | Extremo Izquierdo,22,Muy Bueno,Marcus Thuram
Athletic Club ,Spain,Defensor Central,25,Muy Bueno,Yeray
Paris Saint-Germain ,France,Lateral Izquierdo | Defensor Central,24,Muy Bueno,Abdou Diallo
Napoli ,Mexico,Delantero Centro | Extremo Derecho | Extremo Izquierdo,24,Muy Bueno,Hirving Lozano
Olympique de Marseille ,France,Mediocampista | Mediocampista Ofensivo,25,Muy Bueno,Morgan Sanson
AFC Bournemouth ,Netherlands,Defensor Central,25,Muy Bueno,Nathan Aké
Getafe CF ,Serbia,Mediocampista Defensivo | Mediocampista,25,Muy Bueno,Nemanja Maksimovic
FC Bayern München ,Spain,Lateral Derecho,24,Muy Bueno,Odriozola
Inter ,Italy,Mediocampista Defensivo | Mediocampista,24,Muy Bueno,Stefano Sensi
Paris Saint-Germain ,Germany,Lateral Derecho | Defensor Central,23,Muy Bueno,Thilo Kehrer
Sevilla FC ,Spain,Mediocampista Defensivo | Mediocampista | Mediocampista Ofensivo,26,Muy Bueno,Joan Jordán
Hertha BSC ,Poland,Delantero Centro,25,Muy Bueno,Krzysztof Piatek
Borussia Mönchengladbach ,Switzerland,Lateral Derecho | Defensor Central,23,Muy Bueno,Nico Elvedi
Everton ,England,Delantero Centro,23,Muy Bueno,Dominic Calvert-Lewin
Atalanta ,Italy,Defensor Central,26,Muy Bueno,Mattia Caldara
Sevilla FC ,Spain,Delantero Centro | Extremo Derecho | Extremo Izquierdo,24,Muy Bueno,Munir
Napoli ,Slovakia,Mediocampista Defensivo | Mediocampista,25,Muy Bueno,Stanislav Lobotka
Everton ,Ivory Coast,Mediocampista Defensivo | Mediocampista,24,Muy Bueno,Jean-Philippe Gbamin
Lokomotiv Moscow ,Russia,Delantero Centro | Mediocampista Ofensivo,24,Muy Bueno,Alexey Miranchuk
Southampton ,Denmark,Mediocampista,24,Muy Bueno,Pierre-Emile Højbjerg
Spartak Moscow ,Russia,Mediocampista Defensivo | Mediocampista Izquierdo | Mediocampista,26,Muy Bueno,Roman Zobnin
Sevilla FC ,Portugal,Mediocampista Izquierdo | Extremo Izquierdo,24,Muy Bueno,Rony Lopes
RC Celta ,Spain,Delantero Centro | Extremo Derecho,24,Muy Bueno,Santi Mina
Wolverhampton Wanderers ,Belgium,Defensor Central | Mediocampista Defensivo,25,Muy Bueno,Leander Dendoncker
Arsenal ,Spain,Carrilero Derecho | Lateral Derecho | Extremo Derecho,25,Muy Bueno,Héctor Bellerín
Athletic Club ,Spain,Defensor Central,23,Muy Bueno,Unai Núñez
OGC Nice ,Algeria,Lateral Derecho | Extremo Derecho,24,Muy Bueno,Youcef Atal
Roma ,Turkey,Mediocampista Derecho | Extremo Derecho,23,Muy Bueno,Cengiz Ünder
RB Leipzig ,Czech Republic,Delantero Centro | Mediapunta | Extremo Derecho,24,Muy Bueno,Patrik Schick
Cagliari ,Uruguay,Mediocampista Defensivo | Mediocampista Derecho | Mediocampista,24,Muy Bueno,Nahitan Nández
Milan ,Ivory Coast,Mediocampista,23,Muy Bueno,Franck Yannick Kessié
FC Schalke 04 ,Germany,Mediocampista Defensivo | Mediocampista | Mediocampista Ofensivo,23,Muy Bueno,Suat Serdar
SC Braga ,Portugal,Mediocampista Defensivo | Mediocampista,25,Muy Bueno,Palhinha
Nîmes Olympique ,France,Arquero,23,Muy Bueno,Paul Bernardoni
Southampton ,Poland,Defensor Central,24,Muy Bueno,Jan Bednarek
Wolverhampton Wanderers ,Spain,Carrilero Derecho | Extremo Derecho,24,Muy Bueno,Adama Traoré
1. FSV Mainz 05 ,France,Delantero Centro,23,Muy Bueno,Jean-Philippe Mateta
Galatasaray SK ,Nigeria,Delantero Centro | Mediocampista Izquierdo,23,Muy Bueno,Henry Onyekuru
Milan ,Brazil,Mediocampista | Mediocampista Ofensivo,22,Muy Bueno,Lucas Paquetá
VfL Wolfsburg ,Austria,Mediocampista Defensivo | Mediocampista | Mediocampista Ofensivo,22,Muy Bueno,Xaver Schlager
Hertha BSC ,Serbia,Mediocampista Defensivo | Mediocampista,24,Muy Bueno,Marko Grujic
River Plate ,Argentina,Carrilero Derecho | Lateral Derecho | Extremo Derecho,23,Muy Bueno,Gonzalo Montiel
Dalian YiFang FC ,Ghana,Delantero Centro,24,Muy Bueno,Emmanuel Boateng
Lokomotiv Moscow ,Russia,Mediocampista Derecho | Mediocampista Ofensivo,24,Muy Bueno,Anton Miranchuk
Borussia Mönchengladbach ,Switzerland,Delantero Centro | Mediocampista Ofensivo,23,Muy Bueno,Breel Embolo
Sassuolo ,Italy,Mediocampista Defensivo | Mediocampista,22,Muy Bueno,Manuel Locatelli
AFC Bournemouth ,Wales,Mediocampista Derecho | Mediocampista,23,Muy Bueno,Harry Wilson
Cagliari ,Argentina,Delantero Centro,25,Muy Bueno,Giovanni Simeone
Getafe CF ,Uruguay,Lateral Izquierdo | Mediocampista Izquierdo,22,Muy Bueno,Mathías Olivera
RC Celta ,Spain,Mediocampista Defensivo | Mediocampista | Mediocampista Ofensivo,21,Muy Bueno,Fran Beltrán
VfL Wolfsburg ,Croatia,Mediocampista Izquierdo | Extremo Izquierdo,22,Muy Bueno,Josip Brekalo
Feyenoord ,Netherlands,Arquero,22,Muy Bueno,Justin Bijlow
SD Eibar ,Spain,Mediocampista Defensivo | Mediocampista | Mediocampista Ofensivo,23,Muy Bueno,Edu Expósito
AFC Bournemouth ,Wales,Mediocampista Derecho,23,Muy Bueno,David Brooks
Valencia CF ,Spain,Delantero Centro | Mediocampista Izquierdo | Mediocampista Ofensivo,23,Muy Bueno,Manu Vallejo
FC Red Bull Salzburg ,Zambia,Delantero Centro,21,Muy Bueno,Patson Daka
